r-1 Loss Function	0-1损失函数
Topic Modeling	话题分析
Topic Vector Space	话题向量空间
Topic Vector Space Model	话题向量空间模型
Topic-Document Matrix	话题-文本矩阵
Topographic ICA	地质ICA
Total Cost	总体代价
Trace	迹
Tractable	易处理的
Training	训练
Training Data	训练数据
Training Error	训练误差
Training Instance	训练实例
Training Sample	训练样本
Training Set	训练集
Trajectory	轨迹
Transcribe	转录
Transcription System	转录系统
Transductive Learning	直推学习
Transductive Transfer Learning	直推迁移学习
Transfer Learning	迁移学习
Transform	变换
Transformer	Transformer
Transformer Model	Transformer模型
Transition	转移
Transition Kernel	转移核
Transition Matrix	状态转移矩阵
Transition Probability	转移概率
Transpose	转置
Transposed Convolution	转置卷积
Tree-Structured LSTM	树结构的长短期记忆模型
Treebank	树库
Trial	试验
Trial And Error	试错
Triangle Inequality	三角不等式
Triangular Cyclic Learning Rate	三角循环学习率
Triangulate	三角形化
Triangulated Graph	三角形化图
Trigram	三元语法
True Negative	真负例
True Positive	真正例
True Positive Rate	真正例率
Truncated Singular Value Decomposition	截断奇异值分解
Truncation Error	截断误差
Turing Completeness	图灵完备
Turing Machine	图灵机
Twice-Learning	二次学习
Two-Dimensional Array	二维数组
Ugly Duckling Theorem	丑小鸭定理
Unbiased	无偏
Unbiased Estimate	无偏估计
Unbiased Sample Variance	无偏样本方差
Unconstrained Optimization	无约束优化
Undercomplete	欠完备
Underdetermined	欠定的
Underestimation	欠估计
Underfitting	欠拟合
Underfitting Regime	欠拟合机制
Underflow	下溢
Underlying	潜在
Underlying Cause	潜在成因
Undersampling	欠采样
Understandability	可理解性
Undirected	无向
Undirected Graph	无向图
Undirected Graphical Model	无向图模型
Undirected Model	无向模型
Unequal Cost	非均等代价
Unfolded Graph	展开图
Unfolding	展开
Unidirectional Language Model	单向语言模型
Unification	合一
Uniform Distribution	均匀分布
Uniform Sampling	均匀采样
Uniform Stability	均匀稳定性
Unigram	一元语法
Unimodal	单峰值
Unit	单元
Unit Norm	单位范数
Unit Test	单元测试
Unit Variance	单位方差
Unit Vector	单位向量
Unit-Step Function	单位阶跃函数
Unitary Matrix	酉矩阵
Univariate Decision Tree	单变量决策树
Universal Approximation Theorem	通用近似定理
Universal Approximator	通用近似器
Universal Function Approximator	通用函数近似器
Unknown Token	未知词元
Unlabeled	未标记
Unnormalized Probability Function	未规范化概率函数
Unprojection	反投影
Unshared Convolution	非共享卷积
Unsupervised	无监督
Unsupervised Feature Learning	无监督特征学习
Unsupervised Layer-Wise Training	无监督逐层训练
Unsupervised Learning Algorithm	无监督学习算法
Unsupervised Learning	无监督学习
Unsupervised Pretraining	无监督预训练
Update Gate	更新门
Update Model Parameter	迭代模型参数
Upper Confidence Bounds	上置信界限
Upsampling	上采样
V-Structure	V型结构
Valid	有效
Validation Set	验证集
Validity Index	有效性指标
Value Function	价值函数
Value Function Approximation	值函数近似
Value Iteration	值迭代
Vanishing And Exploding Gradient Problem	梯度消失与爆炸问题
Vanishing Gradient	梯度消失
Vanishing Gradient Problem	梯度消失问题
Vapnik-Chervonenkis Dimension	VC维
Variable Elimination	变量消去
Variance	方差
Variance Reduction	方差减小
Variance Scaling	方差缩放
Variational Autoencoder	变分自编码器
Variational Bayesian	变分贝叶斯
Variational Derivative	变分导数
Variational Distribution	变分分布
Variational Dropout	变分暂退法
Variational EM Algorithm	变分EM算法
Variational Free Energy	变分自由能
Variational Inference	变分推断
Vector	向量
Vector Space	向量空间
Vector Space Model	向量空间模型
Vectorization	向量化
Version Space	版本空间
Virtual Adversarial Example	虚拟对抗样本
Virtual Adversarial Training	虚拟对抗训练
Visible Layer	可见层
Visible Variable	可见变量
Viterbi Algorithm	维特比算法
Vocabulary	词表
Von Neumann Architecture	冯 · 诺伊曼架构
Voted Perceptron	投票感知器
Wake Sleep	醒眠
Warp	线程束
Wasserstein Distance	Wasserstein距离
Wasserstein GAN	Wasserstein生成对抗网络
Weak Classifier	弱分类器
Weak Duality	弱对偶性
Weak Learner	弱学习器
Weakly Learnable	弱可学习
Weakly Supervised Learning	弱监督学习
Weight	权重
Weight Decay	权重衰减
Weight Normalization	权重规范化
Weight Scaling Inference Rule	权重比例推断规则
Weight Sharing	权共享
Weight Space Symmetry	权重空间对称性
Weight Vector	权值向量
Weighted Distance	加权距离
Weighted Voting	加权投票
Whitening	白化
Wide Convolution	宽卷积
Width	宽度
Winner-Take-All	胜者通吃
Within-Class Scatter Matrix	类内散度矩阵
Word Embedding	词嵌入
Word Sense Disambiguation	词义消歧
Word Vector	词向量
Word Vector Space Model	单词向量空间模型
Word-Document Matrix	单词-文本矩阵
Word-Topic Matrix	单词-话题矩阵
Working Memory	工作记忆
Wrapper Method	包裹式方法
Z-Score Normalization	Z值规范化
Zero Mean	零均值
Zero Padding	零填充
Zero Tensor	零张量
Zero-Centered	零中心化的
Zero-Data Learning	零数据学习
Zero-Shot Learning	零试学习
Zipf's Law	齐普夫定律
ε-Greedy Method	ε-贪心法
2D Qsar Models	二维定量构效关系模型
3D Cartesian	三维笛卡尔（坐标）
3D Conformation	三维构象
3D Grids	三维（坐标）网格
3D Qsar Models	三维定量构效关系模型
Aberration-Corrected	像差矫正
Active Machine Learning	主动机器学习
Adaptive Fuzzy Neural Network	自适应模糊神经网络
Adaptive Sampling	自适应采样
Admet Evaluation	毒性评估
Alexnet	AlexNet
Alphago	阿尔法狗
Adaptive Neuro Fuzzy Inference System	自适应神经模糊推理系统
Approximate Probabilistic Models	近似概率模型
Artificial Neurons	人工神经元
Artificial Synapses	人工突触
Attention-Based	基于注意力（机制）的
Automating Synthetic Planning	自动化综合规划
Automation	自动化
Autonomous Decision-Making	自主决策
B-Clustering Algorithms	B树聚类算法
Balanced Accuracy	平衡精度
Bandgap Energy	带隙能量
Baseline Test	基准测试
Basin Hopping	盆地跳跃（算法）
Bayesian Approach	贝叶斯方法
Bayesian Induction	贝叶斯归纳
Bayesian Mcmc Methods	贝叶斯马尔可夫链蒙特卡洛方法
Bayesian Methods	贝叶斯方法
Bayesian Molecular	贝叶斯分子（设计方法）
Bayesian Prior	贝叶斯先验
Bayesian Program Learning	贝叶斯程序学习
Bayesian Regularized Neural Network	贝叶斯正则化神经网络
Beam-Scanning	波束扫描
Best Separates	最优分离
Biased Dataset	有偏数据集
Bit Collisions	字节碰撞/冲突
Black Box	黑盒子
Black-Box Attack	黑盒攻击
Bonding Environments	成键环境
Bonferroni Correction	邦弗朗尼校正
Bootstrap Aggregation	引导聚合
Broyden–Fletcher–Goldfarb–Shanno	BFGS（算法）
Buchwald−Hartwig Cross-Coupling	Buchwald–Hartwig 偶联（反应）
C4.5 Algorithm	C4.5 算法
Calculation Uncertainties	计算不确定性
Canonical Ml Methods	经典机器学习方法
Cartesian Distance Vector	笛卡尔距离向量
CASP	国际蛋白质结构预测竞赛
Categorical Data	分类数据
Categorization Algorithms	分类算法
ChemDataExtractor	化学数据提取器
Chi-Squared	卡方（分布）
Classification Model	分类模型
Cluster Resolution Feature Selection	聚类分辨率特征选择
Cluster-Based Splitting	基于聚类的分离方法
Clustering Methods	聚类方法
Code Pipeline	代码流水线
Coefficient of Determination	决定系数
Combined Gradient	组合梯度（算法）
Complex Data	复合数据
Computational Cost	计算成本
Computational Optimisation	计算优化
Computational Science	计算科学
Computational Toxicology	计算毒理学
Computer Science	计算机科学
Computer Simulations	计算机模拟
Computer-Aided	计算机辅助
Constraint	约束
Core-Loss Spectrum	（电子能量损失谱中的）高能区域
Coulomb Matrix	库仑矩阵
Coupled-Cluster Predictions	耦合簇预测
Cross-Validated Coefficient of Determination	交叉验证的决定系数
Cross-Validation	交叉验证
Crowd-Sourcing	众包
Cut-Points	切点
Cutoff Radial Function	截断径向函数
Data Availability	数据可用性
Data Cleaning	数据清洗
Data Collection	数据采集
Data Considerations	数据注意事项
Data Curation	数据监管
Data Disparity	数据差异
Data Dredging	数据挖掘
Data Imputation	数据填补
Data Labels	数据标签
Data Leakage	数据泄露
Data Pre-Processing	数据预处理
Data Processing	数据处理
Data Quality	数据质量
Data Reduction	数据缩减
Data Representation	数据表示
Data Selection	数据选择
Data Sources	数据源
Data Splitting	数据拆分
Data Transformation	数据转换
Data-Driven	数据驱动
Data-Driven Decision-Making	数据驱动的决策
Data-Driven Methods	数据驱动的方法
Data-Driven Spectral Analysis	数据驱动的光谱分析
Data-Mining	数据挖掘
Database	数据库
DE Algorithm	差分进化算法
Deeplift	DeepLift模型
Dendrogram	树状图
Density Functional Theory	密度泛函理论
Density-Based Spatial Clustering Of Applications With Noise	DBSCAN密度聚类
Descriptor	描述符
DFT Calculations	DFT计算
Dice Similarity	戴斯相似度
Differential Evolution	差分进化
Dimensionality Reduction	降维
Direct Neural Network Modeling	正向神经网络建模
Discrete Manner	离散方式
Discrete Quanta	离散量子
Discretization	离散化
Distillation	蒸馏
Dynamic Datasets	动态数据集
Dynamic Filter Networks	动态过滤网络
Dynamic Sampling	动态采样
Dynamics Simulations	动力学模拟
Eigenfunction	特征函数
Electronegativity	电负性
Elman	埃尔曼
Empirical Models	经验模型
Energy Derivatives	能源衍生品
Energy Potentials	能量潜力
Ensemble Methods	集成方法
Entity Normalisation	实体规范化
Ethical Considerations	道德考虑
Euclidean Distances	欧几里得距离
Evolutionary Algorithms	进化算法
Evolutionary Method	进化方法
Exchange–Correlation	交换关联（的能量/泛函）
Excited-State Potentials	激发态能量
Expected Reduction In Distortion	符合预期的失真减少
Experimental Validation Data	实验验证数据
Expert Systems	专家系统
Extended-Connectivity Circular Fingerprint	扩展连接环形指纹
Extraction Techniques	提取技术
Faber-Christensen-Huang-Lilienfeld	Faber-Christensen-Huang-Lilienfeld
Facial Recognition	面部识别
FAIR Data Principles	FAIR数据原则
False Negatives	假阴性
False Positives	假阳性
Fchl Representation	Fchl 表示
Feature Binarization	特征二值化
Feature Transform	特征变换
Feature Vectors	特征向量
Features	特征
Feed Back	反馈
Feed-Forward Neural Networks	前馈神经网络
Feedback Structure	反馈结构
Final Evaluation	最终评估
Findable, Accessible, Interoperable, Reusable	可查找、可访问、可互操作、可重用
First-Principles	第一性原理
Flow Rate	流速
Forward Cross-Validation	前向交叉验证
Forward Prediction	前向预测
Forward Reaction Prediction	前向反应预测
Fuzzy Logic	模糊逻辑
Fuzzy Neural Networks	模糊神经网络
Ga-Based Approaches	基于遗传算法的方法
Garbage In, Garbage Out	无用数据入、无用数据出
Gas-Phase Networks	气相网络
Gaussian Kernels	高斯核
Gaussian-Type Structure Descriptors	高斯型结构描述符
General Intelligence	通用智能
Generalized Gradient Approximation	广义梯度近似
Generative Adversarial Networks	生成对抗网络
Gradient Boosting Decision Tree	梯度提升决策树
Gradient-Based	基于梯度的
Grain-Surface Networks	粒面网络
Graph Convolutional	图卷积
Graph Models	图模型
Graph Neural Networks	图神经网络
Graph-Based	基于图形
Graph-Based Models	基于图的模型
Graph-Based Neural Networks	基于图的神经网络
Graph-Based Representation	基于图的表示
Graph-Convolutional Neural Network	图卷积神经网络
Graphics Processing Units	图形处理器
Gravimetric Polymerization Degree	比重聚合度
Hamiltonian Matrix	哈密顿矩阵
Hamiltonian Operator	哈密顿算符
Heterogeneous Data	异构数据
Hidden Layers	隐藏层
High Data Throughput	高数据吞吐量
High Throughput	高通量
High Throughput Screening	高通量筛选
High Variance Models	高方差模型
High-Dimensional Data	高维数据
High-Dimensional NN	高维神经网络
High-Dimensional Objects	高维对象
High-Throughput	高通量
Higher-Dimensional Space	高维空间
Higher-Dimensional Spectral Space	高维光谱空间
Homogenization	同质化
Homomorphic Encryption	同态加密
Human Face Recognition	人脸识别
Human-Encoded	人工编码的
Hybrid Model	混合模型
Hybrid Technique	混合技术
Hybrid-Neural Model	混合神经模型
Hyperparameter Opimization	超参数优化
Hyperparameters	超参数
Hyperplanes Separate	超平面分离
Id3 Algorithm	Id3 算法
Image And Speech Recognition	图像和语音识别
Image Classification	图像分类
Image Classifier	图像分类器
Image Recognition	图像识别
Informative Priors	信息先验
Input-Output Pairs	输入输出对
Instance-Based	基于实例的
Intelligent Machine	智能机器
Intermediate Neurons	中间神经元
Internet Of Things	物联网
Interpolation Coordinate	插值坐标
Interpretability	可解释性
Inverse Neural Modeling	逆神经建模
Inverse Neural Network Modeling	逆神经网络建模
Iterative Learning	迭代学习
Joint Distribution	联合分布
Jordan-Elman Neural Networks	Jordan-Elman 神经网络
K Clusters	K聚类
K Nearest Points	K 最近点
K-1 Folds	K-1 折
K-Edge (O-K Edge)	K-边缘（O-K 边缘）
K-Means	K-均值
Kendall’S Tau	肯德尔等级相关系数
Kernel Ridge Regression	核岭回归
Kernels	内核
Kinetic Curve	动力学曲线
KNN Model	K 近邻模型
Knowledge Extraction	知识提取
Knowledge Gradient	知识梯度
L1 And L2 Regularization	L1与L2正则化
Laboratory Level	实验室级别
Language Processing	语言处理
Laplacian Prior	拉普拉斯先验
Large-Scale Data Storage	大规模数据存储
Lasers	激光器
Lasso Regression	拉索回归
LBP	局部二值模式
Least Absolute Shrinkage And Selection Operator	Lasso回归
Least Square Support Vector Machine	最小二乘支持向量机
Ligand-Field	配位场
Linear	线性的
Linear Dimension Reduction Methods	线性降维方法
Linear Vibronic Coupling Model	线性振子耦合模型
Local Recurrent	本地卷积
Logic And Heuristics Applied To Synthetic Analysis	LHASA 程序
Long-Range Prediction	长期预测
Long-Range Prediction Models	长期预测模型
Long-Term Planning	长期规划
Long-Term Reward	长期回报
Machine-Readable Data	机器可读的数据
Mae	平均绝对误差
Mahalanobis Distances	马氏距离
Matrices	矩阵
Matthews Correlation Coefficient	马修斯相关系数
Maximum Likelihood Methods	最大似然法
Maximum Likelihood Procedures	最大似然估计法
MCTS Method	蒙特卡洛树搜索方法
Mean-Squared Error	均方误差
Mechanical Sympathy	机械同感，软硬件协同编程
Merging	合并
Message Passing Neural Networks	消息传递神经网络
Microarray Data	微阵列数据
Mini Batch	小批次
Mining	挖掘
Mining Out	挖掘
Missing Values	缺失值
ML Algorithm	机器学习算法
ML Modelling	机器学习建模
ML Potentials	机器学习势能
ML-Driven	机器学习驱动的
ML-Driven Optimization	机器学习驱动的最优化
MLP Neural Model	多层感知机神经模型
Model Construction	模型构建
Model Evaluation	模型评估
Model Performance	模型性能
Model Statistics	模型统计
Model Training	模型训练
Model Validation	模型验证
Model-Based Iterative Reconstruction	基于模型的迭代重建
Model-Construction	模型构建
Modelling Scenario	建模场景
Molecular Graph Theory	分子图论
Molecular Modelling	分子建模
Monte Carlo Tree Search	蒙特卡洛树搜索
Moore’S Law	摩尔定律
ms-QSBER-EL Model	基于人工神经网络组合的结构生物学效应定量关系多尺度模型
Multi-Agent Control System	多智能体控制系统
Multi-Core Desktop Computer	多核台式计算机
Multi-Dimensional Big Data Analysis	多维度大数据分析
Multi-Layer Feed-Forward	多层前馈
Multi-Objective Genetic Algorithm	多目标遗传算法
Multi-Objective Optimization	多目标优化
Multi-Reaction Synthesis	多反应合成
Multilayer Perceptron	多层感知机
Multivariate Regression	多变量回归
N-Dimensional Space	N维空间
Naive Bayesian	朴素贝叶斯
Naive Bayesian Methods	朴素贝叶斯方法
Named Entity Recognition，NER	命名实体识别
Nearest Neighbors	近邻
Nearest Neighbour Model	近邻模型
Negative Predictive Value	阴性预测值
Network Architecture	网络结构
Network Geometry	网络几何
Neural Turing Machines	神经图灵机
Neural-Network-Based Function	基于神经网络的函数
Neurons	神经元
Nuclear Magnetic Resonance	核磁共振
Noise Filters	噪声过滤器
Noise-Free	无噪的
Non-Linear	非线性
Non-Linear Correlation	非线性相关
Non-Linearity	非线性
Non-Parametric Algorithm	非参数化学习算法
Non-Safety-Critical Applications	非安全关键型应用
Non-Steady-State	非稳态
Non-Stochastic	非随机的
Non-Template	非模板
Non-Template Methods	非模板方法
Non-Zero Weight	非零权重
On-The-Fly Optimization	运行中优化
One-Hot Vector	独热向量
Open-Source	开源
Open-Source Dataset	开源数据集
Predicted Label	预测值
Prediction	预测
Prediction Accuracy	预测准确率
Predictor	预测器/决策函数
Protein Folding	蛋白折叠
Quantum Chemistry	量子化学
Quantum Theory	量子理论
Random Selection	随机选择
Raw Datasets	原始数据集
Root Mean Square Errors	均方根
Scaling	缩放
Simulation	仿真
The Global Minimum	全局最小值
Turing Test	图灵测试
Version Control	版本控制
Workflow	工作流
Sequence-Function	序列-功能
